no,nama,kota_kab,jenis,wilkum,ket
1,Pantai Pasir Putih Parbaba,Parbaba/Samosir,Wisata Alam,Polres Samosir,Kawasan Ekonomi Khusus
2,Pantai Indah Situngkir,Situngkir/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
3,Pantai Tanda Rabun,Desa Dos roha/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
4,Pantai Batu Hoda,Simanindo/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
5,Huta Sialagan,Siallagan/Samosir,"Wisata Alam, Wisata Sejarah dan Budaya",Polres Samosir,Kawasan Ekonomi Khusus
6,Patung Si Gale-gale,Tomok/Samosir,Wisata Sejarah dan Budaya,Polres Samosir,Kawasan Ekonomi Khusus
7,Kawasan Tomok,Tomok/Samosir,Wisata Belanja,Polres Samosir,Kawasan Ekonomi Khusus
8,Air Terjun Efrata,Harian/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
9,Pantai Pandua,Nainggolan/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
10,Pantai Indah Sipinggan,Sipinggan/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
11,Danau Aek Natonang,Tanjungan/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
12,Dermaga Jetty,Situngkir/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
13,Pantai Sigur-gur,Simanindo/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
14,Bukit Sibeabea,Harian/Samosir,Wisata Alam dan Wisata Religi,Polres Samosir,Objek Wisata Biasa
15,Aek Sipitu Dai,Sianjur mula-mula/Samosir,Wisata budaya dan Wisata Religi,Polres Samosir,Objek Wisata Biasa
16,Batu Sawan,Sianjur mula-mula /Samosir,Wisata budaya,Polres Samosir,Objek Wisata Biasa
17,Air Terjun Naisogop,Sianjur mula-mula /Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
18,Menara Pandang Tele,Harian/Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
19,Kawasan Sigulatti-Pusat Informasi Geopark,Sianjur mula-mula /Samosir,Wisata budaya,Polres Samosir,Objek Wisata Biasa
20,Ruma Parsaktian Guru Tatea Bulan,Sianjur mula-mula /Samosir,Wisata Budaya dan wisata religi,Polres Samosir,Objek Wisata Biasa
21,Bukit Holbung,Dolokraja/Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
22,Pemandian Aek Rangat,Pangururan/Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
23,Sitalmaktalmak,Sihotang/Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
24,Kawasan Hutan Pinus,Harian/Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
25,Wetland Biocord-Putri Lopian (DLH),Pangururan/Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
26,Kampung Tenun Lumban Suhi,Pangururan/ Samosir,Wisata Belanja,Polres Samosir,Kawasan Ekonomi Khusus
27,Pantai Sibolazi,Simanindo/Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
28,Pantai Langat,Simanindo/Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
29,Sijukjuk Hill,Harian boho/Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
30,Bona Bona Hill,Harian boho/Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
31,Hidden Beach,Simanindo/Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
32,Kuburan diatas pohon,Tomok/Samosir,Wisata Religi,Polres Samosir,Objek Wisata Biasa
33,Objek Wisata Lagundi,Onanrunggu/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
34,Museum Huta Bolon,Simanindo/Samosir,Wisata Budaya,Polres Samosir,Objek Wisata Biasa
35,Tugu toga Sinaga,Palipi/Samosir,Wisata Budaya,Polres Samosir,Objek Wisata Biasa
36,Danau Sidihoni,Pangururan/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
37,Aek Sipaloinggang,Pangururan/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
38,Aek Tawar,Ronggur Nihuta/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
39,Padan togu,Ronggur Nihuta/Samosir,Wisata Budaya,Polres Samosir,Objek Wisata Biasa
40,Wisata Pangaloan,Nainggolan/Samosir,Wisata Budaya,Polres Samosir,Objek Wisata Biasa
41,Batu Guru,Nainggolan/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
42,Mual Boru Saroding,Sitio-tio/Samosir,Wisata Budaya,Polres Samosir,Objek Wisata Biasa
43,Dolok Sipatungan,Sitio-tio/ Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
44,Batu Parpadanan,Sitio-tio/ Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
45,Mual Boru Pareme,Sitio-tio/Samosir,Wisata Budaya,Polres Samosir,Objek Wisata Biasa
46,Parhutaan Siraja Lottung,Sitio-tio/Samosir,Wisata Budaya,Polres Samosir,Objek Wisata Biasa
47,Rumah Parsaktian Lumban Raja,Onanrunggu/Samosir,Wisata Budaya,Polres Samosir,Objek Wisata Biasa
48,Mual Tornong Parhuta hutaan,Sitio-tio/ Samosir,Wisata Budaya,Polres Samosir,Objek Wisata Biasa
49,Agrowisata Raptamawijaya,Ronggur Nihuta/Samosir,Agrowisata,Polres Samosir,Objek Wisata Biasa
50,Batu Maroppa,Sitio-tio/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
51,Wisata Leluhur Gunung Uluh Darat,Sitio-tio/Samosir,Wisata alam dan Budaya,Polres Samosir,Objek Wisata Biasa
52,Aek Bunga-bunga,Sianjur mula-mula/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
53,Tulas View,Pangururan/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
54,Perkampungan Siraja Batak,Sianjur Mula-mula/Samosir,Wisata Budaya,Polres Samosir,Objek Wisata Biasa
55,Kawasan Wisata Desa Siboro,Sianjur Mula-mula/Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
56,Air Terjun Sampuran Pangaribuan,Palipi/Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
57,Siborbor Rinabolak,Onanrunggu/Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
58,Eco Village Silimalombu,Onanrunggu/Samosir,Agrowisata,Polres Samosir,Objek Wisata Biasa
59,Hariara Bolon Sukkean,Onanrunggu/Samosir,Wisata Religi,Polres Samosir,Objek Wisata Biasa
60,Liang Sipogu,Simanindo/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
61,Pea Porohan,Ronggur Nihuta/Samosir,Wisata alam,Polres Samosir,Objek Wisata Biasa
62,Goa Lumban Dolok,Ronggur Nihuta/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
63,Sampuran Bona-bona,Ronggur Nihuta/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
64,Sampuran Sigaol,Ronggur Nihuta/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
65,Aek Marulak,Ronggur Nihuta/Samosir,Wisata Alam,Polres Samosir,Objek Wisata Biasa
66,Batu Rante,Palipi/Samosir,Wisata Budaya,Polres Samosir,Objek Wisata Biasa
67,Hariara Maranak,Palipi/Samosir,Wisata Budaya,Polres Samosir,Objek Wisata Biasa
68,Jembatan tano Ponggol,Kec. Pangururan,Wisata Alam,Polres Samosir,Objek Vital nasional
69,Water Front City,Kec. Pangururan,Wisata Alam,Polres Samosir,Objek Vital nasional
